date,currency_type,budget_funds_total_mln_rub,federal_budget_funds_mln_rub,regional_local_budget_funds_mln_rub,other_budget_funds_mln_rub,extra_budgetary_funds_mln_rub,source_url,source_file
01-04-2014,rub,15679.0,1823.0,370.0,13317.0,170.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-04-2014,total,53365.0,7914.0,412.0,44325.0,715.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-05-2014,foreign_currency_and_precious_metals,34692.0,5328.0,42.0,29307.0,15.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-05-2014,rub,17656.0,2143.0,587.0,14760.0,165.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-05-2014,total,52348.0,7472.0,629.0,44067.0,180.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-06-2014,foreign_currency_and_precious_metals,48517.0,21129.0,34.0,27338.0,16.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-06-2014,rub,19011.0,2214.0,410.0,16235.0,152.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-06-2014,total,67528.0,23342.0,445.0,43573.0,168.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-07-2014,foreign_currency_and_precious_metals,47825.0,18121.0,34.0,29620.0,50.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-07-2014,rub,19912.0,2599.0,478.0,16687.0,148.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-07-2014,total,67737.0,20720.0,512.0,46307.0,198.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-08-2014,foreign_currency_and_precious_metals,50912.0,17949.0,35.0,32904.0,23.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-08-2014,rub,20192.0,2136.0,2568.0,15341.0,147.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-08-2014,total,71104.0,20085.0,2604.0,48245.0,170.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-09-2014,foreign_currency_and_precious_metals,54028.0,19782.0,37.0,33536.0,673.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-09-2014,rub,21101.0,2542.0,2609.0,15594.0,356.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-09-2014,total,75129.0,22324.0,2645.0,49130.0,1029.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-10-2014,foreign_currency_and_precious_metals,52232.0,15740.0,40.0,36423.0,29.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-10-2014,rub,18161.0,2003.0,470.0,15339.0,349.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-10-2014,total,70393.0,17743.0,509.0,51762.0,378.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-11-2014,foreign_currency_and_precious_metals,51700.0,11222.0,43.0,40407.0,28.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-11-2014,rub,18064.0,2368.0,509.0,14853.0,335.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-11-2014,total,69764.0,13590.0,552.0,55260.0,363.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-12-2014,foreign_currency_and_precious_metals,56380.0,9270.0,50.0,46934.0,127.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-12-2014,rub,18319.0,2277.0,284.0,15422.0,337.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-12-2014,total,74700.0,11547.0,334.0,62355.0,464.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-01-2015,foreign_currency_and_precious_metals,57868.0,282.0,56.0,57529.0,1.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-01-2015,rub,14404.0,4.0,341.0,13980.0,79.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-01-2015,total,72272.0,286.0,397.0,71508.0,81.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-02-2015,foreign_currency_and_precious_metals,73966.0,5877.0,69.0,68017.0,4.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-02-2015,rub,15948.0,1969.0,377.0,13504.0,98.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-02-2015,total,89914.0,7846.0,445.0,81521.0,102.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-03-2015,foreign_currency_and_precious_metals,74067.0,13829.0,61.0,60173.0,4.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-03-2015,rub,16208.0,2498.0,226.0,13381.0,103.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-03-2015,total,90275.0,16327.0,287.0,73554.0,107.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-04-2015,foreign_currency_and_precious_metals,76000.0,19931.0,58.0,56000.0,11.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-04-2015,rub,16122.0,1800.0,276.0,13927.0,119.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
01-04-2015,total,92122.0,21731.0,335.0,69928.0,130.0,https://www.cbr.ru/vfs/statistics/banksector/borrowings/02_29_Budget_all.xlsx,cbr_budget_funds.xlsx
