date,averaging_period_end,averaging_period_days,actual_balances,required_reserves_avg,accounting_reserves,full_reserves,spread,spread_relative,spread_delta,spread_ma3,reserve_load,ruonia_rate,ruonia_period_avg,ruonia_start,flag_end_of_period,spread_mad_score,spread_relative_mad_score,spread_delta_mad_score,reserve_load_mad_score,ruonia_mad_score,m1_signal,m1_signal_final,m1_reliable
10-07-2013,09-08-2013,31,871.4274193548389,686.1,507.5,1193.6,185.32741935483887,27.011721229389135,-28.869247311827962,197.40749103942656,136.97067288560663,5.89,6.038260869565218,5.89,0,-1.0472432729829368,-1.3020119591694346,-2.3283840551880783,1.3887674352338928,0.9581846748515747,-0.8017495749017045,-0.8017495749017045,1
10-08-2013,09-09-2013,31,840.5499999999998,674.9,501.6,1176.5,165.64999999999986,24.544376944732534,-19.677419354839003,188.3913620071685,139.9678781750045,,6.0285714285714285,5.7,0,-1.591580679986574,-1.5766534081871697,-1.4728579534707629,1.7318506858701608,0.9832384138691399,-0.9263356795954227,-0.9263356795954227,1
10-09-2013,09-10-2013,30,865.705,679.6,506.1,1185.7,186.10500000000002,27.38449087698647,20.455000000000155,179.02747311827957,136.96351528522996,6.14,6.03090909090909,6.14,0,-0.9881079925505388,-1.3430860000153393,1.873450971019887,1.6184585960071398,0.9954698941061644,-0.15172417821699918,-0.15172417821699918,1
10-10-2013,09-11-2013,31,862.2161290322582,675.3,507.7,1183.0,186.91612903225825,27.678976607768142,0.8111290322582363,179.55704301075272,137.20457785077463,6.04,6.153333333333334,6.04,0,-0.8015700983221892,-0.9859726972311406,0.2563709349054004,1.1727750996920874,1.0589834957300017,-0.22384119455224089,-0.22384119455224089,1
10-11-2013,09-12-2013,30,888.1166666666667,683.6,506.4,1190.0,204.51666666666665,29.91759313438658,17.600537634408397,192.5125985663083,133.99140503312253,,6.186190476190476,5.36,0,0.0698886957807881,-0.7474931050777255,1.3795950385043254,0.6864032687994331,1.0797030162412995,0.3144527770898181,0.3144527770898181,1
10-12-2013,09-01-2014,31,1242.059677419355,794.1,402.3,1196.4,447.959677419355,56.410990734083235,243.44301075268834,279.79749103942663,96.32387410609587,6.49,6.4075,6.49,0,5,2.0564297020441122,5,-3.4880245261078375,1.42646586860939,3.370723892663376,3.370723892663376,1
10-01-2014,09-02-2014,31,1067.0774193548389,825.8,404.8,1230.6,241.2774193548389,29.21741576106066,-206.68225806451608,297.9179211469535,115.32434082843098,5.84,6.001904761904762,5.84,0,1.701102068032638,-0.8665999161742594,-5,-1.3823362994070907,0.7754053456319304,-0.177412918824159,-0.177412918824159,1
10-02-2014,09-03-2014,28,1027.355357142857,846.1,412.3,1258.4,181.25535714285695,21.42245090921368,-60.02206221198196,290.1641513056836,122.48926247872922,5.5,6.434,5.5,0,-0.8114594160645834,-1.976192656816586,-4.000688874805028,-0.6913723088521615,1.515135752347122,-0.9993783529607243,-0.9993783529607243,1
10-03-2014,09-04-2014,31,1050.0274193548385,866.0,439.9,1305.9,184.02741935483846,21.25027937122846,2.772062211981506,202.18673195084477,124.36818086163652,,7.79,7.64,0,-0.7149089266639653,-2.1225495718875704,0.3629051217299924,-0.541406885163628,4.276790613456951,0.34277790431945626,0.34277790431945626,1
10-04-2014,09-05-2014,30,1060.5583333333334,883.4,430.1,1313.5,177.15833333333342,20.054146856841005,-6.869086021505041,180.8137032770096,123.8498589579388,7.34,7.951578947368421,7.34,0,-1.0005802518443714,-2.326663018658829,-0.4568417075959141,-0.6864555779145812,5,0.24960490105037558,0.24960490105037558,1
