date,demand_amount,offered_amount,placed_amount,weighted_yield,cover_ratio,yield_spread,Flag_Nedospros,Flag_Perespros,MAD_score_cover,MAD_score_yield_spread
07-09-2016,47951.149999999994,15667.496,15667.493,9.391309881549013,3.0605496883484125,1.0713098815490127,0,1,1.3804915166073266,1.964656267311208
14-09-2016,69537.799,15000.0,14999.997,9.953333163999966,4.6358532666666665,0.5620232824509532,0,1,4.6151240969583585,0.939649743016358
21-09-2016,66339.073,18071.197,18071.193,10.2158740715126,3.6709838866788957,0.2625409075126335,0,1,2.3767985580344764,0.24938510883690518
05-10-2016,18441.396,10000.0,9999.999,8.34,1.8441396,-1.8758740715125999,0,0,-1.0,-3.0993660348333263
12-10-2016,16301.9,10000.0,9999.999,10.89,1.63019,2.5500000000000007,0,0,-1.3501082307351215,3.7922197109855893
19-10-2016,33850.437,10000.0,9999.999,11.21,3.3850436999999998,0.3200000000000003,0,1,1.70897748582917,0.18999506626975007
26-10-2016,16655.916,10000.0,10000.0,8.44,1.6655916000000002,-2.7700000000000014,0,0,-1.204083498299232,-4.448303530403135
02-11-2016,28722.698,10000.0,9999.998,11.14,2.8722698,2.700000000000001,0,1,0.8242972338791476,3.4270557926523257
09-11-2016,16199.826000000003,10000.0,10000.0,8.61,1.6199826000000004,-2.530000000000001,0,0,-1.2795823222770482,-3.6119427364675216
16-11-2016,46435.986999999994,20065.932999999997,20065.929,10.018663576453399,2.3141703403474936,1.4086635764533995,0,1,-0.1326660053449694,1.6447227777984368
23-11-2016,63400.075000000004,29518.484,29518.479,9.472344678734972,2.1478093183918254,-0.546318897718427,0,1,-0.369359578828771,-0.8894731857110126
30-11-2016,103526.519,30000.0,19927.884,9.97118211446835,3.450883966666667,0.49883743573337824,0,1,1.8182962549965966,0.4302968883405205
07-12-2016,127282.578,40000.0,39999.988,9.679999708999913,3.18206445,-0.29118240546843666,0,1,1.3062086977429526,-0.60633129173576
14-12-2016,127109.613,45000.0,44999.992,9.763333262814802,2.8246580666666667,0.08333355381488872,0,1,0.742153504954741,-0.01446552026724149
