event_date,day_type,tax_name,event_type,event_text,source_release_date,source_file,source_url
03-02-2014,event,Земельный налог,reporting_deadline,налогоплательщики представляют налоговую декларацию по земельному налогу за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
03-02-2014,event,Транспортный налог,reporting_deadline,налогоплательщики - организации представляют в налоговые органы по месту нахождения транспортных средств налоговую декларацию за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
14-02-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики, для которых отчетным периодом по налогу является месяц, уплачивают налог с доходов в виде процентов по государственным и муниципальным ценным бумагам за январь 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Акцизы,payment_deadline,"налогоплательщики , осуществляющие на территории Российской Федерации производство алкогольной продукции (за исключением вин, фруктовых вин, игристых вин (шампанских), натуральных напитков с объемной долей этилового спирта не более 6 процентов объема готовой продукции, изготовленных из виноматериалов, произведенных без добавления этилового спирта) и (или) подакцизной спиртосодержащей продукции, уплачивают авансовый платеж за февраль 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Индивидуальный (персонифицированный) учет в системе обязательного пенсионного страхования,reporting_deadline,страхователи представляют сведения о страховых взносах и страховом стаже застрахованных лиц за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,reporting_deadline,плательщики страховых взносов на обязательное пенсионное страхование представляют расчет по начисленным и уплаченным страховым взносам за 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное пенсионное страхование уплачивают ежемесячный обязательный платеж за январь 2014 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,reporting_deadline,"плательщики страховых взносов, осуществляющие выплаты и иные вознаграждения в пользу обучающихся в профессиональных образовательных организациях, образовательных организациях высшего образования по очной форме обучения за деятельность, осуществляемую в студенческом отряде по трудовым договорам или по гражданско-правовым договорам, представляют документы, подтверждающие членство в студенческом отряде обучающихся и форму их обучения в период такого членства.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Федеральный фонд обязательного медицинского страхования,reporting_deadline,плательщики страховых взносов на обязательное медицинское страхование представляют расчет по начисленным и уплаченным страховым взносам за 2013 г.;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Федеральный фонд обязательного медицинского страхования,payment_deadline,плательщики страховых взносов на обязательное медицинское страхование уплачивают ежемесячный обязательный платеж за январь 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-02-2014,event,Страховые взносы в Фонд социального страхования Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством уплачивают ежемесячный обязательный платеж за январь 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
18-02-2014,event,Акцизы,reporting_deadline,"налогоплательщики , уплатившие авансовый платеж акциза по алкогольной и (или) спиртосодержащей продукции, представляют в налоговый орган документы , подтверждающие уплату авансового платежа за февраль 2014 г. В целях освобождения от уплаты авансового платежа акциза налогоплательщики представляют в налоговый орган банковскую гарантию и извещение об освобождении от уплаты авансового платежа акциза",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-02-2014,event,Косвенные налоги,mixed,"налогоплательщики представляют налоговую декларацию и уплачивают налоги по товарам, принятым на учет в январе 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-02-2014,event,НДС,payment_deadline,налогоплательщики ( налоговые агенты ) уплачивают 1/3 суммы налога за IV квартал 2013 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-02-2014,event,Налог на игорный бизнес,mixed,налогоплательщики представляют налоговую декларацию и уплачивают налог за январь 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
20-02-2014,event,Сбор за пользование объектами водных биологических ресурсов,payment_deadline,налогоплательщики уплачивают регулярный взнос,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-02-2014,event,Акцизы,mixed,"налогоплательщики (кроме имеющих свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом) уплачивают акцизы и представляют налоговую декларацию за январь 2014 г.;",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-02-2014,event,Акцизы,mixed,"налогоплательщики, имеющие свидетельство о регистрации лица, совершающего операции с прямогонным бензином, и (или) свидетельство о регистрации организации, совершающей операции с денатурированным этиловым спиртом, уплачивают акцизы по прямогонному бензину и денатурированному этиловому спирту и представляют налоговую декларацию за ноябрь 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
25-02-2014,event,Налог на добычу полезных ископаемых,payment_deadline,налогоплательщики уплачивают налог за январь 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Индивидуальный (персонифицированный) учет в системе обязательного пенсионного страхования,reporting_deadline,"физические лица , самостоятельно уплачивающие страховые взносы, осуществляющие предпринимательскую деятельность в районах Крайнего Севера или приравненных к ним местностях, или на работах в особых или вредных условиях труда, дающих право на досрочное назначение трудовой пенсии, в добровольном порядке представляют сведения о начисленных и уплаченных страховых взносах на обязательное пенсионное страхование и страховом стаже застрахованного лица",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Налог на добычу полезных ископаемых,reporting_deadline,налогоплательщики представляют налоговую декларацию за январь 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Налог на прибыль организаций,reporting_deadline,налоговые агенты представляют расчеты по итогам отчетного периода;,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики уплачивают 2-й ежемесячный авансовый платеж по налогу за I квартал 2014 г. (об организациях, уплачивающих только квартальные авансовые платежи, см. ст. 286 НК РФ);",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Налог на прибыль организаций,mixed,"налогоплательщики, исчисляющие ежемесячные авансовые платежи исходя из фактически полученной прибыли, представляют налоговую декларацию и уплачивают авансовый платеж за январь 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
28-02-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,reporting_deadline,"главы крестьянских фермерских хозяйств, не производящие выплат и иных вознаграждений физическим лицам, представляют расчет по начисленным и уплаченным страховым взносам за 2013 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
14-03-2014,event,Налог на прибыль организаций,payment_deadline,"налогоплательщики, для которых отчетным периодом по налогу является месяц, уплачивают налог с доходов в виде процентов по государственным и муниципальным ценным бумагам за февраль 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-03-2014,event,Акцизы,payment_deadline,"налогоплательщики , осуществляющие на территории Российской Федерации производство алкогольной продукции (за исключением вин, фруктовых вин, игристых вин (шампанских), натуральных напитков с объемной долей этилового спирта не более 6 процентов объема готовой продукции, изготовленных из виноматериалов, произведенных без добавления этилового спирта) и (или) подакцизной спиртосодержащей продукции, уплачивают авансовый платеж за март 2014 г.",28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-03-2014,event,Страховые взносы в Пенсионный фонд Российской Федерации,payment_deadline,плательщики страховых взносов на обязательное пенсионное страхование уплачивают ежемесячный обязательный платеж за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
17-03-2014,event,Страховые взносы в Федеральный фонд обязательного медицинского страхования,payment_deadline,плательщики страховых взносов на обязательное медицинское страхование уплачивают ежемесячный обязательный платеж за февраль 2014 г.,28-02-2014,data-20140228-structure-20140228.xml,https://data.nalog.ru/opendata/7707329152-kalendar/data-20140228-structure-20140228.xml
