auction_date,published_date,document_title,auction_format,issue,security_type,maturity_date,days_to_maturity,offered_amount,demand_amount,placed_amount,proceeds_amount,cutoff_price,weighted_average_price,cutoff_yield,weighted_average_yield,official_coefficient,cover_ratio,placement_ratio,source_url,source_file
25-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1911,10000.0,10646.664,7080.97,6785.7658807,93.8575,93.961,9.19,9.17,1.0646664000000001,1.0646664000000001,0.708097,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
25-05-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5593,10000.0,31772.239,10000.0,9985.21,98.7111,98.7111,8.84,8.84,3.1772239,3.1772239,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
01-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5586,15000.0,10215.0,7465.0,7389.5026,97.5,97.6846,8.99,8.97,0.681,0.681,0.49766666666666665,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
01-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29006RMFS,ОФЗ-ПК,29-01-2025,3164,10000.0,7900.0,4099.999999999999,4485.514,105.55000000000001,105.6228,11.61,11.600000000000001,0.79,0.79,0.4099999999999999,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
08-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1897,10000.0,39628.488,10000.0,9665.8157,94.39999999999999,94.5002,9.06,9.030000000000001,3.9628487999999997,3.9628487999999997,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
08-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26218RMFS,ОФЗ-ПД,17-09-2031,5579,17367.207000000002,30085.978,17367.206,17556.72596408,99.4555,99.6243,8.75,8.72,1.7323440666078314,1.7323440666078314,0.9999999424202174,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
15-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1890,15000.0,23403.861,15000.0,14457.4488,93.97,94.081,9.180000000000001,9.15,1.5602574,1.5602574,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
15-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,29011RMFS,ОФЗ-ПК,29-01-2020,1323,10000.0,13349.059,6148.731,6618.21321513,103.16019999999999,103.2344,11.29,11.26,1.3349058999999999,1.3349058999999999,0.6148731,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
22-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,24018RMFS,ОФЗ-ПК,27-12-2017,553,5000.0,9537.0,5000.0,5386.69211,101.905,101.9898,10.86,10.8,1.9074,1.9074,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
22-06-2016,10-01-2017,Результаты проведенных аукционов по размещению государственных ценных бумаг в 2016 году на 30.12.2016,,26217RMFS,ОФЗ-ПД,18-08-2021,1883,15000.0,33516.57199999999,15000.0,14672.786,95.35040000000001,95.3736,8.82,8.81,2.2344381333333327,2.2344381333333327,1.0,https://minfin.gov.ru/ru/document?id_4=104629-rezultaty_provedennykh_auktsionov_po_razmeshcheniyu_gosudarstvennykh_tsennykh_bumag_v_2016_godu_na_30.12.2016,INTERNET_Auction_Results_rus_2016_20161230_1.xlsx
